categoryId	categoryName	lPath
221997	야구장	||스포츠,오락||스포츠시설||야구장
221999	축구장	||스포츠,오락||스포츠시설||축구장
222002	골프장	||스포츠,오락||스포츠시설||골프장
222003	스크린골프장	||스포츠,오락||스포츠시설||스크린골프장
222004	골프연습장	||스포츠,오락||스포츠시설||골프연습장
222007	수영장	||스포츠,오락||스포츠시설||수영장
222008	테니스장	||스포츠,오락||스포츠시설||테니스장
222014	풋살장	||스포츠,오락||스포츠시설||풋살장
222016	아이스링크	||스포츠,오락||스포츠시설||아이스링크
222021	경마장	||스포츠,오락||스포츠시설||경마장
222024	헬스장	||스포츠,오락||스포츠시설||헬스장
222025	요가원	||스포츠,오락||스포츠시설||요가원
222026	필라테스	||스포츠,오락||스포츠시설||필라테스
222028	단전,기공	||스포츠,오락||스포츠시설||단전,기공
222029	무예,격투기	||스포츠,오락||스포츠시설||무예,격투기
222031	낚시터	||스포츠,오락||레포츠시설||낚시터
222032	비행,항공레저	||스포츠,오락||레포츠시설||비행,항공레저
222033	수상,해양레저	||스포츠,오락||레포츠시설||수상,해양레저
222041	노래방	||스포츠,오락||오락시설||노래방
222043	만화방	||스포츠,오락||오락시설||만화방
222044	PC방	||스포츠,오락||오락시설||PC방
222050	나이트클럽	||스포츠,오락||유흥시설||나이트클럽
222072	태권도장	||스포츠,오락||스포츠시설||무예,격투기||태권도장
222121	레저,테마	||여행,명소||레저,테마
222160	워터파크	||여행,명소||레저,테마||워터파크
222413	학교	||교육,학문||학교
222416	학원 등 교습시설	||교육,학문||학원 등 교습시설
222422	초등학교	||교육,학문||학교||초등학교
222423	중학교	||교육,학문||학교||중학교
222424	고등학교	||교육,학문||학교||고등학교
222425	대학교	||교육,학문||학교||대학교
222426	대학원	||교육,학문||학교||대학원
222446	독서실	||교육,학문||도서관||독서실
222447	교습학원,교습소	||교육,학문||학원 등 교습시설||교습학원,교습소
222448	어학교육	||교육,학문||학원 등 교습시설||어학교육
222449	스포츠,레크레이션교육	||교육,학문||학원 등 교습시설||스포츠,레크레이션교육
222450	음악교육	||교육,학문||학원 등 교습시설||음악교육
222451	미술교육	||교육,학문||학원 등 교습시설||미술교육
222452	취미교육	||교육,학문||학원 등 교습시설||취미교육
222453	직업,기술교육	||교육,학문||학원 등 교습시설||직업,기술교육
222469	특수목적고등학교	||교육,학문||학교||고등학교||특수목적고등학교
222471	전문계고등학교	||교육,학문||학교||고등학교||전문계고등학교
222487	입시교육	||교육,학문||학원 등 교습시설||교습학원,교습소||입시교육
222489	공부방	||교육,학문||학원 등 교습시설||교습학원,교습소||공부방
222491	논술	||교육,학문||학원 등 교습시설||교습학원,교습소||논술
222493	웅변,화술	||교육,학문||학원 등 교습시설||교습학원,교습소||웅변,화술
222494	글쓰기,독서지도	||교육,학문||학원 등 교습시설||교습학원,교습소||글쓰기,독서지도
222495	학습지	||교육,학문||학원 등 교습시설||교습학원,교습소||학습지
222497	영어교육	||교육,학문||학원 등 교습시설||어학교육||영어교육
222499	중국어교육	||교육,학문||학원 등 교습시설||어학교육||중국어교육
222518	요가,명상	||교육,학문||학원 등 교습시설||스포츠,레크레이션교육||요가,명상
222527	피아노	||교육,학문||학원 등 교습시설||음악교육||피아노
222534	실용음악교육	||교육,학문||학원 등 교습시설||음악교육||실용음악교육
222550	고시,공무원	||교육,학문||학원 등 교습시설||직업,기술교육||고시,공무원
222551	공인중개사	||교육,학문||학원 등 교습시설||직업,기술교육||공인중개사
222559	애니메이션,만화	||교육,학문||학원 등 교습시설||직업,기술교육||애니메이션,만화
222565	컴퓨터	||교육,학문||학원 등 교습시설||직업,기술교육||컴퓨터
222567	미용교육	||교육,학문||학원 등 교습시설||직업,기술교육||미용교육
222964	법무부	||공공,사회기관||중앙행정기관||법무부
223105	범죄예방정책국	||공공,사회기관||중앙행정기관||법무부||범죄예방정책국
223176	병원	||건강,의료||병원
223178	약국	||건강,의료||약국
223182	건강검진	||건강,의료||병원||건강검진
223186	종합병원	||건강,의료||병원||종합병원
223187	병원,의원	||건강,의료||병원||병원,의원
223192	보건소	||건강,의료||병원||보건소
223194	병원부속시설	||건강,의료||병원||병원부속시설
