서비스기간,,,3일(최소구동일자),히든 접수시트,,,,,,,,,,,,
AS,,,AS 불가,,,,,,,,,,,,,
당일 구동 오픈시간,,,오후 1시까지,주말 등록 x    ,,,,,,,,,,,,
익일 구동 오픈시간,,,오후 7시까지,,,,,,,,,,,,,
작성일,시작일,종료일,메인 키워드,플레이스명,"전체참여인원
(입력X)",일 참여인원,"일 수
(입력X)",플레이스URL,MID,상품종류선택,공란,금액(35원),금액(부포),"정산유무
(입력x)","정산유무
(입력x)",비고
2025-12-05,12/6,2025-12-12,홍대술집,한월 홍대,"2,100",300,7,https://m.place.naver.com/restaurant/1165597556/home,1165597556,유입,,"₩73,500","₩80,850",정산완료,등록완료,
2025-12-05,12/6,2025-12-12,천호 맛집,메종 드 플레터 스타시티 서울 레스토랑,"2,100",300,7,https://m.place.naver.com/restaurant/267802526/home?entry=pll,267802526,유입,,"₩73,500","₩80,850",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-12-09,2025-12-09,2025-12-15,신동 맛집,오월의꽃수저 신동카페거리점,"1,400",200,7,https://m.place.naver.com/restaurant/2064392403/home,2064392403,유입,,"₩49,000","₩53,900",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-12-10,2025-12-11,2025-12-17,압구정로데오 바,하일로,700,100,7,https://m.place.naver.com/place/1409613427/home,1409613427,유입,,"₩24,500","₩26,950",정산완료,등록완료,
2025-12-10,2025-12-11,2025-12-17,강남카페,마르케,700,100,7,https://m.place.naver.com/place/1374995918/home,1374995918,유입,,"₩24,500","₩26,950",정산완료,등록완료,
2025-12-10,2025-12-11,2025-12-17,공릉 맛집,하노이별 공릉점,"1,050",150,7,https://m.place.naver.com/restaurant/36399674/home,36399674,유입,,"₩36,750","₩40,425",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-12-12,12/13,2025-12-19,홍대술집,한월 홍대,"2,100",300,7,https://m.place.naver.com/restaurant/1165597556/home,1165597556,유입,,"₩73,500","₩80,850",정산완료,등록완료,
2025-12-12,12/13,2025-12-19,천호 맛집,메종 드 플레터 스타시티 서울 레스토랑,"2,100",300,7,https://m.place.naver.com/restaurant/267802526/home?entry=pll,267802526,유입,,"₩73,500","₩80,850",정산완료,등록완료,
2025-12-12,12/13,2025-12-19,대학로 고기집,거복이식당 대학로,"1,400",200,7,https://m.place.naver.com/restaurant/2038302317/home,2038302317,유입,,"₩49,000","₩53,900",정산완료,등록완료,
2025-12-12,12/13,2025-12-19,청천동 맛집,오봉집 청천산곡점,"1,400",200,7,https://m.place.naver.com/restaurant/1249534579/home,1249534579,유입,,"₩49,000","₩53,900",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-12-17,12/18,2025-12-24,압구정로데오 바,하일로,700,100,7,https://m.place.naver.com/place/1409613427/home,1409613427,,,"₩24,500","₩26,950",정산완료,등록완료,
2025-12-17,12/18,2025-12-24,강남카페,마르케,"1,050",150,7,https://m.place.naver.com/place/1374995918/home,1374995918,,,"₩36,750","₩40,425",정산완료,등록완료,
2025-12-17,12/18,2025-12-24,공릉 맛집,하노이별 공릉점,"1,050",150,7,https://m.place.naver.com/restaurant/36399674/home,36399674,,,"₩36,750","₩40,425",정산완료,등록완료,
2025-12-17,12/18,2025-12-24,천북굴단지,천북굴단지 훈이네굴수산,"1,050",150,7,https://m.place.naver.com/restaurant/1997864570/home,1997864570,,,"₩36,750","₩40,425",정산완료,등록완료,
2025-12-17,12/18,2025-12-24,남양주 카페,후탄,"1,400",200,7,https://m.place.naver.com/place/1138528583/home,1138528583,,,"₩49,000","₩53,900",정산완료,등록완료,
2025-12-17,12/18,2025-12-24,수원역 맛집,봉자막창 수원역점,"1,400",200,7,https://m.place.naver.com/place/2047453115/home,2047453115,,,"₩49,000","₩53,900",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-12-19,2025-12-20,2025-12-26,홍대술집,한월 홍대,"2,800",400,7,https://m.place.naver.com/restaurant/1165597556/home,1165597556,,,"₩98,000","₩107,800",정산완료,등록완료,
2025-12-19,2025-12-20,2025-12-26,천호 맛집,메종 드 플레터 스타시티 서울 레스토랑,"2,800",400,7,https://m.place.naver.com/restaurant/267802526/home?entry=pll,267802526,,,"₩98,000","₩107,800",정산완료,등록완료,
2025-12-19,2025-12-20,2025-12-26,대학로 고기집,거복이식당 대학로,"2,100",300,7,https://m.place.naver.com/restaurant/2038302317/home,2038302317,,,"₩73,500","₩80,850",정산완료,등록완료,
2025-12-19,2025-12-20,2025-12-26,청천동 맛집,오봉집 청천산곡점,"1,400",200,7,https://m.place.naver.com/restaurant/1249534579/home,1249534579,,,"₩49,000","₩53,900",정산완료,등록완료,
2025-12-19,2025-12-20,2025-12-22,구래동 맛집,뻥쟁이네 구래동점,900,300,3,https://m.place.naver.com/restaurant/1029063503,1029063503,,,"₩31,500","₩34,650",정산완료,등록완료,
2025-12-19,2025-12-20,2025-12-26,신중동역 술집,야키토리 리을리을,"1,050",150,7,https://m.place.naver.com/restaurant/1814512864/home,1814512864,,,"₩36,750","₩40,425",정산완료,등록완료,
2025-12-19,2025-12-20,2025-12-23,광안리 맛집,구명애포항물회 광안리본점,800,200,4,https://m.place.naver.com/place/1848049619,1848049619,,,"₩28,000","₩30,800",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-12-23,2025-12-24,2025-12-31,천북굴단지,천북굴단지 훈이네굴수산,"2,400",300,8,https://m.place.naver.com/restaurant/1997864570/home,1997864570,,,"₩84,000","₩92,400",정산완료,등록완료,
2025-12-23,2025-12-24,2025-12-26,구래동 맛집,뻥쟁이네 구래동점,900,300,3,https://m.place.naver.com/restaurant/1029063503,1029063503,,,"₩31,500","₩34,650",정산완료,등록완료,
2025-12-23,2025-12-24,2025-12-26,광안리 맛집,구명애포항물회 광안리본점,600,200,3,https://m.place.naver.com/place/1848049619,1848049619,,,"₩21,000","₩23,100",정산완료,등록완료,
2025-12-23,2025-12-24,2025-12-31,신동 맛집,오월의꽃수저 신동카페거리점,"1,600",200,8,https://m.place.naver.com/restaurant/2064392403/home,2064392403,유입,,"₩56,000","₩61,600",정산완료,등록완료,
